time,src_ip,protocol,length
2026-01-15 23:58:12.724945,IPv6,TCP,74
2026-01-15 23:58:12.724945,IPv6,TLS,173
2026-01-15 23:58:12.725627,IPv6,TLS,676
2026-01-15 23:58:12.785302,IPv6,TLS,346
2026-01-15 23:58:12.785716,IPv6,TLS,524
2026-01-15 23:58:12.869070,IPv6,TLS,165
2026-01-15 23:58:12.874025,IPv6,TLS,165
2026-01-15 23:58:12.877414,IPv6,TCP,74
2026-01-15 23:58:12.880989,IPv6,TCP,74
2026-01-15 23:58:12.886402,IPv6,TCP,74
2026-01-15 23:58:12.891097,192.168.1.14,TCP,66
2026-01-15 23:58:12.891328,192.168.1.14,TCP,66
2026-01-15 23:58:12.891675,192.168.1.14,TCP,66
2026-01-15 23:58:12.893365,IPv6,QUIC,1292
2026-01-15 23:58:12.893491,IPv6,QUIC,1292
2026-01-15 23:58:12.893569,IPv6,QUIC,1292
2026-01-15 23:58:12.893611,IPv6,QUIC,1292
2026-01-15 23:58:12.893650,IPv6,QUIC,1292
2026-01-15 23:58:12.893679,IPv6,QUIC,203
2026-01-15 23:58:12.893748,IPv6,QUIC,1286
2026-01-15 23:58:12.893774,IPv6,QUIC,1292
2026-01-15 23:58:12.893809,IPv6,QUIC,331
2026-01-15 23:58:12.897583,192.168.1.1,TCP,66
2026-01-15 23:58:12.897583,192.168.1.1,TCP,66
2026-01-15 23:58:12.897583,192.168.1.1,TCP,66
2026-01-15 23:58:12.897732,192.168.1.14,TCP,54
2026-01-15 23:58:12.897779,192.168.1.14,TCP,54
2026-01-15 23:58:12.897790,192.168.1.14,TCP,54
2026-01-15 23:58:12.898145,192.168.1.14,DNS,86
2026-01-15 23:58:12.898146,192.168.1.14,DNS,86
2026-01-15 23:58:12.898178,192.168.1.14,DNS,86
2026-01-15 23:58:12.902177,192.168.1.1,TCP,54
2026-01-15 23:58:12.902274,IPv6,QUIC,86
2026-01-15 23:58:12.902383,192.168.1.1,TCP,54
2026-01-15 23:58:12.902397,IPv6,QUIC,86
2026-01-15 23:58:12.902424,192.168.1.1,TCP,54
2026-01-15 23:58:12.902448,IPv6,QUIC,86
2026-01-15 23:58:12.912946,192.168.1.1,DNS,277
2026-01-15 23:58:12.912946,192.168.1.1,DNS,325
2026-01-15 23:58:12.913251,192.168.1.14,TCP,54
2026-01-15 23:58:12.913562,192.168.1.14,TCP,54
2026-01-15 23:58:12.916469,192.168.1.1,TCP,54
2026-01-15 23:58:12.916578,192.168.1.14,TCP,54
2026-01-15 23:58:12.917908,192.168.1.1,TCP,54
2026-01-15 23:58:12.917972,192.168.1.14,TCP,54
2026-01-15 23:58:12.927343,192.168.1.14,TCP,54
2026-01-15 23:58:12.927698,192.168.1.1,DNS,268
2026-01-15 23:58:12.927759,192.168.1.14,TCP,54
2026-01-15 23:58:12.928978,IPv6,QUIC,1292
2026-01-15 23:58:12.929063,IPv6,QUIC,1292
2026-01-15 23:58:12.946317,IPv6,TLS,1486
2026-01-15 23:58:12.946731,IPv6,TCP,1486
2026-01-15 23:58:12.946750,IPv6,TCP,74
2026-01-15 23:58:12.947929,IPv6,TCP,1486
2026-01-15 23:58:12.947929,IPv6,TCP,1486
2026-01-15 23:58:12.947929,IPv6,TCP,1486
2026-01-15 23:58:12.947929,IPv6,TCP,1486
2026-01-15 23:58:12.947929,IPv6,TCP,1486
2026-01-15 23:58:12.947996,IPv6,TCP,74
2026-01-15 23:58:12.948440,IPv6,TCP,1486
2026-01-15 23:58:12.948475,IPv6,TCP,74
2026-01-15 23:58:12.950313,IPv6,TCP,1486
2026-01-15 23:58:12.952216,IPv6,TLS,306
2026-01-15 23:58:12.952254,IPv6,TCP,74
2026-01-15 23:58:12.964677,IPv6,QUIC,102
2026-01-15 23:58:12.964677,IPv6,QUIC,1292
